tweet,label
"We are not currently accepting clothing donations at this time because we are unable to process them. There are very limited resources and facilities to sort , store , and distribute clothing in the disaster area -- there are literally piles of clothing going to waste as many people have severe damage to their homes and no dry place to keep them and they are getting moldy & dirty. Donations of gently used clothes should go to the Salvation Army or Goodwill accordingly. Donations of non perishable items such as ready to eat items ( tuna , soups , pasta , cereal ) , water , batteries , flashlights , and cleaning supplies are always welcome at our donation drop off at 23-74 38th st btwn 23rd ave & Astoria Blvd. Thanks !",Food
I want hurricane Sandy to cone so I can be stuck in my house with my family : ) .............. NOT ! ! ! ! !,None
"Hi , I can help prepare food , serve food , offer clean up assistance but don 't necessarily have any tools , just my hands and willingness to help. I only have a bicycle and could maybe help with deliveries. I 'm within walking distance of Red Hook.",Food
I cant believe Sandy .....,None
"I have children and adult clothes including jacket , blanket , shoes , and bottle water",Water
I have two small children but we would like to donate to families who need clothes or food or even toys for kids ! But we don 't know where and would rather not donate to red cross. We would rather directly donate. Thanks in advance if you can help ! Melissa,Food
Supermarket had no food # scary # hurricanesandy # nopower # instahub # instafood # instagram @ Super Stop & amp ; Shop http : //t.co/hY0TRezH,None
spooky : ( a ) how close the water is to the west side hwy ( b ) the total lack of power from 34th st - south. # sandy,Energy
"Will these storms ever give L.I. a break ? First sandy , now a nor 'easter. Still no power in long beach expected for a few wks. # c ' monman",Energy
"* * NEED MET * * We 're very concerned about our 90-year old grandmother * * * * * * * * * * * * * * * who lives by herself in her apartment at * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * without power or running water. She said her neighbors are helping her , but it 's hard to know if she 's really ok from the phone and we 're concerned her cell will run out of power. Her number is * * * * * * * * * * * * * * * * .",Energy
I am happy to serve food or help with taking food to people that can 't get out.,Food
@ LaurSantangelo now only if my texting worked ... Hahaha damn sandy ...,None
psychological services ( phd in psychology ) ; can lead games for kids ; can donate food,Food
2 jugs of water,Water
Enjoying life in the dark .... ( @ Hurricane Sandy 's Power Outage ) http : //t.co/ZdCwWy8Q,Energy
I am a chef and offer my services at a food bank or other facility that would provide food for relief victims of storm Sandy,Food
"Can bring groceries , water , and toiletries as needed.",Food
"53 matchbooks , several flashlights , a few batteries , lots of women 's clothing , several kitchen towels , all from 2-person household located in fort greene , brooklyn.",Energy
"* * NEED MET * * My cousin , * * * * * * * * * * * * * * * * * ( 80 ) and his wife , * * * * * * * * , are stuck on the * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * ) with very little food and water. There is no electricity ( and thus no elevator ) or phone ( or cell phone service , either ) . I 'm in Boston and cannot help directly. I 'm sure there are many others in that housing complex who are old and need help. What you 're doing is fantastic !",Food
"I have non-perishable food , men 's and women 's clothing , and hygiene products I can donate. I live on the upper east side. Please let me know how to get these to you.",Food
Baby formula and other food,Food
I am cpr and first aid certified. I have experience as a CNA ( certified nurse assistant ) .,Medical
We just lost power on 20th street. # sandy,Energy
6 cases of bottled water.,Water
"I have gently used clothing , like new coats , non perishable food items , and hygiene items. I can drop them off Thursday or Friday. Thanks",Food
There is no way in or out of Manhattan right now ..... Stranded on an island during a hurricane ..... Wow,None
Food Delivery/Preparation,Food
"I can donate clothing , hot meals , non-perishable foods , and hygiene products.",Food
"My apartment was flooded knee deep. The water has drained out. Right now my most urgent need is to find a contractor to a ) come dry out the apt and b ) if needed , replace the Sheetrock , insulation , and flooring , as I 'm very concerned about the apartment becoming ( even more ) filled with mold.",Water
Supply food,Food
@ austeremoi It 's always good to weather the storm with good food and wine ... We 'd love to have you over,None
Who needs water and batteries ? Im set with pizza for # Sandy ( @ Mama Angelinas Restaurant ) http : //t.co/1LlF6Xux,Food
I am willing to help bring food or supplies or clean up any area in need.,Food
"Here 's what I have to donate , I can bring the following to Red Hook : 1-2 blankets , canned goods , batteries , 1 pair lace up winter/rain boots ( woman size 8 , not fully water proof , but very warm ) , winter boots ( woman size 8 , warm but not water proof ) , warm clothing ( men and women sweat shirts and sweaters ) and maybe some coats. ALL ITEMS in good condition and very clean. * * I can easily get to Red Hook , if anyone has a special request for something that I can donate , please let me know as my grocery , pharmacy , and hardware stores in williamsburg seem well stocked. I can afford to purchase up to $200 of goods to bring to Red Hook if a specific request is in need. Let me know please. * * Contact * * * * * * * * at : * * * * * * * * * * * * * * * * * * * * * * * * OR * * * * * * * * * * * * *",Food
"If there is anything in particular you need and are lacking let me know and I will try to look for it. Have some clothing that might be useful ... couple overcoats for example. Can bring non-perishable foods , and baby goods as well. Can cook something to bring.",Food
I live in Seattle and I work at Starbucks. I can get my coworkers to donate their free pounds of coffees and teas that we get each week. I am also starting a food drive at my store to contribute canned foods and whatnot.,Food
"Canned beans and vegetables , etc",Food
I can give several gallons of bottled water,Water
I have a great deal of clothing ( summer and winter ) as well as a small amount of toiletries and a small amount of non-perishable food.,Food
I have a car and can deliver food ( or clothing if needed ) .,Food
